Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5394  1.3025    -3.0980 -0.1622
      1  -2.2986  1.0423    -3.4910 -1.5957
      2  -2.5633  0.9362    -3.6129 -2.1138
      3  -2.9075  1.0664    -5.0532 -2.4291
      4  -3.5000  1.5757    -7.7102 -2.4997
      5  -4.8265  2.1207    -8.8715 -2.0132
      6  -3.9634  1.5927    -7.7426 -2.1568
      7  -4.6862  1.8627    -8.5010 -1.5588
      8  -4.6788  1.6529    -8.2445 -2.3931
      9  -4.4861  1.3355    -7.1567 -2.8752
     10  -4.4719  1.1918    -6.7722 -3.0705
     11  -4.1221  0.9701    -5.7363 -2.9884
     12  -4.4287  0.9578    -6.0471 -3.3596
     13  -4.2344  0.8126    -5.4739 -3.3048
     14  -4.4059  0.7600    -5.5999 -3.6003
     15  -4.2944  0.6490    -5.2626 -3.5696
     16  -4.3725  0.5749    -5.3001 -3.7565
     17  -4.2937  0.4989    -5.1160 -3.7343
     18  -4.1871  0.4644    -4.9401 -3.6734
     19  -4.0832  0.4498    -4.7714 -3.5534

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0978  0.0607     0.0001  0.1894
      1   0.0964  0.0611     0.0001  0.1892
      2   0.0977  0.0606     0.0003  0.1893
      3   0.0895  0.0620     0.0001  0.1877
      4   0.0453  0.0468     0.0000  0.1426
      5   0.0086  0.0084     0.0000  0.0219
      6   0.0109  0.0100     0.0000  0.0269
      7   0.0060  0.0052     0.0000  0.0126
      8   0.0071  0.0050     0.0000  0.0131
      9   0.0080  0.0048     0.0000  0.0135
     10   0.0085  0.0045     0.0001  0.0136
     11   0.0092  0.0049     0.0001  0.0153
     12   0.0089  0.0047     0.0001  0.0139
     13   0.0095  0.0049     0.0002  0.0160
     14   0.0098  0.0051     0.0002  0.0169
     15   0.0105  0.0054     0.0004  0.0181
     16   0.0111  0.0056     0.0005  0.0190
     17   0.0118  0.0058     0.0007  0.0197
     18   0.0121  0.0059     0.0007  0.0200
     19   0.0121  0.0058     0.0007  0.0199

