Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.8760  1.3435    -3.6951 -0.2010
      1  -2.7496  0.9264    -3.8790 -1.8813
      2  -3.2813  0.7879    -4.1418 -2.7874
      3  -3.5876  0.8347    -4.7377 -3.1922
      4  -3.4518  0.6232    -3.8905 -3.1907
      5  -3.4718  0.4870    -3.8567 -3.4276
      6  -3.4610  0.3663    -3.8201 -3.4313
      7  -3.4458  0.2583    -3.7693 -3.4319
      8  -3.4429  0.1974    -3.7573 -3.4330
      9  -3.4259  0.1423    -3.6809 -3.4324
     10  -3.3547  0.3846    -3.6826 -3.1893
     11  -3.2575  0.4176    -3.6629 -3.1717
     12  -3.2197  0.6224    -3.6399 -2.9880
     13  -3.2095  0.4754    -3.6103 -3.1124
     14  -3.1832  0.3622    -3.5073 -3.1284
     15  -3.1673  0.2772    -3.4233 -3.1378
     16  -3.1387  0.5967    -3.4385 -2.9045
     17  -3.1500  0.4757    -3.4256 -2.9431
     18  -3.1596  0.3783    -3.4246 -2.9919
     19  -3.2004  1.0410    -5.0644 -2.6498

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0997  0.0598     0.0020  0.1896
      1   0.0992  0.0600     0.0018  0.1895
      2   0.0976  0.0604     0.0007  0.1892
      3   0.0908  0.0612     0.0001  0.1876
      4   0.1036  0.0590     0.0030  0.1901
      5   0.1139  0.0562     0.0104  0.1917
      6   0.1169  0.0541     0.0184  0.1919
      7   0.1188  0.0527     0.0242  0.1921
      8   0.1198  0.0518     0.0272  0.1921
      9   0.1265  0.0490     0.0363  0.1930
     10   0.0656  0.0376     0.0110  0.1347
     11   0.0584  0.0334     0.0095  0.1182
     12   0.0443  0.0277     0.0018  0.0923
     13   0.0477  0.0272     0.0068  0.0948
     14   0.0509  0.0270     0.0100  0.0974
     15   0.0539  0.0269     0.0133  0.1003
     16   0.0313  0.0172     0.0019  0.0591
     17   0.0341  0.0171     0.0052  0.0613
     18   0.0365  0.0170     0.0080  0.0636
     19   0.0180  0.0113     0.0000  0.0340

