trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1099 620.00  0.00 800.00  0.71  1
  1  753 420.00  0.00 800.00 156.00  0
  2  695 390.00  0.00 800.00 21.50  1
  3  769 430.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  0
  5  732 410.00  0.00 800.00 26.00  0
  6  766 430.00  0.00 800.00 17.20  0
  7  729 410.00  0.00 800.00 12.90  1
  8  784 440.00  0.00 800.00 17.20  1
  9  766 430.00  0.00 800.00 17.20  1
 10  677 380.00  0.00 800.00 21.50  0
 11  966 540.00  0.00 800.00 26.00  0
 12  695 390.00  0.00 800.00 21.50  0
 13  657 370.00  0.00 800.00 12.90  1
 14  713 400.00  0.00 800.00 21.50  0
 15  675 380.00  0.00 800.00 12.90  1
 16  731 410.00  0.00 800.00 21.50  0
 17  749 420.00  0.00 800.00 21.50  0
 18  749 430.00  0.00 800.00 17.20  1
 19  731 410.00  0.00 800.00 21.50  0
