trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1033 580.00  0.00 800.00  8.60  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  1
  5  679 380.00  0.00 800.00 52.00  0
  6  804 450.00  0.00 800.00 26.00  1
  7  804 430.00  0.00 800.00 52.00  0
  8  804 430.00  0.00 800.00 21.50  1
  9  804 470.00  0.00 800.00 21.50  1
 10  679 380.00  0.00 800.00 52.00  0
 11  571 320.00  0.00 800.00 52.00  0
 12  804 450.00  0.00 800.00 26.00  1
 13  804 450.00  0.00 800.00 52.00  0
 14  804 470.00  0.00 800.00 21.50  1
 15  804 450.00  0.00 800.00 21.50  1
 16  804 430.00  0.00 800.00 21.50  1
 17  804 440.00  0.00 800.00 52.00  0
 18  804 470.00  0.00 800.00 52.00  0
 19  804 460.00  0.00 800.00 52.00  0
