trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  103  60.00  0.00 800.00 52.00  0
  1  687 390.00  0.00 800.00  2.00  1
  2  742 420.00  0.00 800.00  3.00  1
  3  707 400.00  0.00 800.00  4.30  1
  4  672 380.00  0.00 800.00  6.44  0
  5  689 390.00  0.00 800.00  4.30  1
  6  672 360.00  0.00 800.00  4.30  1
  7  672 400.00  0.00 800.00  4.30  1
  8  672 380.00  0.00 800.00  4.30  1
  9  672 370.00  0.00 800.00  8.60  0
 10  672 360.00  0.00 800.00  8.60  0
 11  672 390.00  0.00 800.00  4.30  0
 12  708 400.00  0.00 800.00  6.44  0
 13  671 380.00  0.00 800.00  4.30  1
 14  690 390.00  0.00 800.00  6.44  0
 15  671 400.00  0.00 800.00  3.00  1
 16  689 390.00  0.00 800.00  4.30  1
 17  690 390.00  0.00 800.00  6.44  0
 18  672 380.00  0.00 800.00  6.44  0
 19  689 390.00  0.00 800.00  4.30  1
