trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1262 710.00  0.00 800.00  1.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  753 420.00  0.00 800.00 156.00  0
  4  698 390.00  0.00 800.00 104.00  1
  5  645 360.00  0.00 800.00 156.00  0
  6  698 390.00  0.00 800.00 52.00  1
  7  698 400.00  0.00 800.00 52.00  1
  8  698 390.00  0.00 800.00 156.00  0
  9  698 400.00  0.00 800.00 52.00  1
 10  698 410.00  0.00 800.00 156.00  0
 11  698 370.00  0.00 800.00 156.00  1
 12  663 370.00  0.00 800.00 156.00  1
 13  645 360.00  0.00 800.00 156.00  1
 14  627 350.00  0.00 800.00 156.00  1
 15  627 350.00  0.00 800.00 260.00  0
 16  627 330.00  0.00 800.00 260.00  0
 17  645 360.00  0.00 800.00 156.00  1
 18  788 440.00  0.00 800.00 104.00  0
 19  627 350.00  0.00 800.00 156.00  1
