trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1303 730.00  0.00 800.00  8.60  1
  1  881 490.00  0.00 800.00 520.00  0
  2  754 420.00  0.00 800.00 260.00  0
  3  753 420.00  0.00 800.00 156.00  0
  4  788 440.00  0.00 800.00 104.00  0
  5  698 390.00  0.00 800.00 104.00  1
  6  698 370.00  0.00 800.00 156.00  0
  7  698 370.00  0.00 800.00 156.00  0
  8  698 390.00  0.00 800.00 156.00  0
  9  698 380.00  0.00 800.00 52.00  1
 10  698 380.00  0.00 800.00 52.00  1
 11  698 370.00  0.00 800.00 52.00  1
 12  698 370.00  0.00 800.00 52.00  1
 13  698 370.00  0.00 800.00 156.00  0
 14  698 380.00  0.00 800.00 156.00  0
 15  698 390.00  0.00 800.00 52.00  1
 16  698 380.00  0.00 800.00 52.00  1
 17  698 370.00  0.00 800.00 52.00  1
 18  698 400.00  0.00 800.00 52.00  1
 19  698 390.00  0.00 800.00 156.00  0
