trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1101 620.00  0.00 800.00  2.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  694 390.00  0.00 800.00 17.20  1
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  1
  7  805 450.00  0.00 800.00 52.00  0
  8  661 370.00  0.00 800.00 52.00  0
  9  679 380.00  0.00 800.00 52.00  1
 10  895 500.00  0.00 800.00 52.00  0
 11  661 370.00  0.00 800.00 52.00  1
 12  643 360.00  0.00 800.00 52.00  1
 13  841 470.00  0.00 800.00 52.00  0
 14  625 350.00  0.00 800.00 52.00  1
 15  823 460.00  0.00 800.00 52.00  0
 16  625 350.00  0.00 800.00 26.00  1
 17  625 340.00  0.00 800.00 26.00  1
 18  643 360.00  0.00 800.00 52.00  1
 19  805 450.00  0.00 800.00 52.00  0
