trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1156 650.00  0.00 800.00  3.00  1
  1  701 390.00  0.00 800.00 520.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  0
  5  783 440.00  0.00 800.00 12.90  1
  6  676 380.00  0.00 800.00 17.20  1
  7  713 400.00  0.00 800.00 21.50  1
  8  695 390.00  0.00 800.00 21.50  1
  9  768 430.00  0.00 800.00 26.00  0
 10  766 430.00  0.00 800.00 17.20  1
 11  750 420.00  0.00 800.00 26.00  0
 12  677 380.00  0.00 800.00 21.50  0
 13  677 370.00  0.00 800.00 17.20  1
 14  695 390.00  0.00 800.00 21.50  0
 15  713 400.00  0.00 800.00 21.50  1
 16  677 380.00  0.00 800.00 21.50  1
 17  659 370.00  0.00 800.00 21.50  1
 18  822 460.00  0.00 800.00 26.00  0
 19  659 380.00  0.00 800.00 17.20  1
