trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1049 590.00  0.00 800.00  4.30  1
  1  701 390.00  0.00 800.00 520.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  732 410.00  0.00 800.00 26.00  1
  4  661 370.00  0.00 800.00 52.00  0
  5  822 460.00  0.00 800.00 26.00  0
  6  714 400.00  0.00 800.00 26.00  0
  7  730 410.00  0.00 800.00 17.20  0
  8  602 340.00  0.00 800.00 10.80  1
  9  639 360.00  0.00 800.00 12.90  1
 10  658 370.00  0.00 800.00 17.20  1
 11  695 390.00  0.00 800.00 21.50  0
 12  604 340.00  0.00 800.00 17.20  1
 13  731 410.00  0.00 800.00 21.50  0
 14  749 420.00  0.00 800.00 21.50  0
 15  622 350.00  0.00 800.00 17.20  1
 16  749 420.00  0.00 800.00 17.20  0
 17  622 360.00  0.00 800.00 21.50  1
 18  767 430.00  0.00 800.00 21.50  1
 19  821 460.00  0.00 800.00 21.50  0
