Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6759  2.7021    -9.0076 -0.5606
      1  -2.3560  1.4440    -4.5888 -0.2952
      2  -1.1802  0.9195    -2.3376 -0.1499
      3  -0.5411  0.7915    -1.1968 -0.0705
      4  -0.7696  0.7151    -1.2937 -0.4765
      5  -0.9080  0.6817    -1.4405 -0.6559
      6  -1.2936  1.0951    -2.8316 -0.8153
      7  -1.1146  0.8527    -1.7053 -0.8104
      8  -1.8899  1.7543    -6.7824 -0.8183
      9  -1.6285  1.3706    -4.6792 -0.8278
     10  -1.4199  1.1001    -2.6198 -0.8212
     11  -1.2827  0.8996    -1.9637 -0.8107
     12  -1.1959  0.7047    -1.7449 -0.8085
     13  -1.1288  1.0320    -1.8255 -0.5398
     14  -1.0862  0.8100    -1.6633 -0.6185
     15  -1.0709  0.6404    -1.5855 -0.7218
     16  -1.1179  0.5732    -1.6345 -0.8239
     17  -1.2997  0.7958    -1.9242 -0.8842
     18  -1.2322  0.6172    -1.7882 -0.8810
     19  -1.1820  0.4959    -1.6841 -0.8731

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1027  0.0585     0.0073  0.1900
      1   0.1037  0.0582     0.0079  0.1901
      2   0.1057  0.0577     0.0093  0.1904
      3   0.1078  0.0573     0.0097  0.1908
      4   0.1051  0.0574     0.0090  0.1902
      5   0.1029  0.0575     0.0082  0.1896
      6   0.0520  0.0423     0.0001  0.1348
      7   0.0612  0.0426     0.0026  0.1428
      8   0.0173  0.0151     0.0000  0.0429
      9   0.0189  0.0148     0.0001  0.0442
     10   0.0216  0.0151     0.0001  0.0469
     11   0.0242  0.0155     0.0006  0.0500
     12   0.0261  0.0155     0.0019  0.0520
     13   0.0184  0.0113     0.0001  0.0361
     14   0.0199  0.0112     0.0009  0.0375
     15   0.0212  0.0112     0.0018  0.0388
     16   0.0221  0.0114     0.0023  0.0399
     17   0.0170  0.0089     0.0008  0.0300
     18   0.0180  0.0087     0.0015  0.0309
     19   0.0190  0.0087     0.0022  0.0319

