trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1296 730.00  0.00 800.00  0.43  1
  1  754 420.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  0
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  0
  6  695 400.00  0.00 800.00 26.00  0
  7  695 400.00  0.00 800.00 26.00  0
  8  695 390.00  0.00 800.00 17.20  1
  9  695 380.00  0.00 800.00 17.20  1
 10  695 400.00  0.00 800.00 17.20  1
 11  695 370.00  0.00 800.00 26.00  0
 12  695 410.00  0.00 800.00 26.00  0
 13  695 410.00  0.00 800.00 17.20  1
 14  695 380.00  0.00 800.00 26.00  0
 15  695 400.00  0.00 800.00 26.00  0
 16  695 390.00  0.00 800.00 17.20  1
 17  695 410.00  0.00 800.00 26.00  0
 18  695 380.00  0.00 800.00 26.00  0
 19  784 440.00  0.00 800.00 17.20  1
