trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1262 710.00  0.00 800.00  1.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  1
  3  645 360.00  0.00 800.00 156.00  1
  4  664 370.00  0.00 800.00 260.00  0
  5  753 420.00  0.00 800.00 156.00  1
  6  664 350.00  0.00 800.00 520.00  0
  7  664 380.00  0.00 800.00 156.00  1
  8  664 370.00  0.00 800.00 156.00  1
  9  664 390.00  0.00 800.00 520.00  0
 10  664 390.00  0.00 800.00 520.00  0
 11  664 350.00  0.00 800.00 156.00  1
 12  664 360.00  0.00 800.00 520.00  0
 13  664 390.00  0.00 800.00 520.00  0
 14  664 360.00  0.00 800.00 520.00  0
 15  664 370.00  0.00 800.00 156.00  1
 16  664 390.00  0.00 800.00 156.00  1
 17  664 350.00  0.00 800.00 156.00  1
 18  664 380.00  0.00 800.00 520.00  0
 19  664 390.00  0.00 800.00 156.00  1
