trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1247 700.00  0.00 800.00  4.30  1
  1  791 440.00  0.00 800.00 520.00  0
  2  645 360.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  0
  5  822 460.00  0.00 800.00 26.00  0
  6  714 400.00  0.00 800.00 26.00  0
  7  748 420.00  0.00 800.00 17.20  1
  8  732 410.00  0.00 800.00 26.00  0
  9  748 400.00  0.00 800.00 12.90  1
 10  677 380.00  0.00 800.00 21.50  1
 11  750 420.00  0.00 800.00 26.00  0
 12  677 380.00  0.00 800.00 26.00  0
 13  677 370.00  0.00 800.00 17.20  1
 14  677 400.00  0.00 800.00 26.00  0
 15  766 430.00  0.00 800.00 17.20  1
 16  766 410.00  0.00 800.00 21.50  0
 17  677 380.00  0.00 800.00 21.50  0
 18  695 390.00  0.00 800.00 21.50  0
 19  713 400.00  0.00 800.00 21.50  0
