Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7032  2.2520    -7.6242 -0.1061
      1  -2.4962  2.4079    -8.2404 -0.8127
      2  -4.5207  2.5384    -8.9499 -1.4599
      3  -6.4656  1.8925    -9.2025 -3.1587
      4  -5.2778  1.4944    -7.8544 -2.5823
      5  -5.8774  1.3385    -8.2309 -3.7758
      6  -5.4997  1.1164    -7.0250 -3.7798
      7  -5.7467  1.0028    -7.1332 -4.6549
      8  -5.5869  0.8622    -6.5491 -4.7213
      9  -5.7536  0.8397    -6.7074 -5.0924
     10  -5.7327  0.6663    -6.4456 -5.2716
     11  -5.8146  0.5585    -6.4611 -5.5333
     12  -5.7543  0.4843    -6.2934 -5.5069
     13  -5.8080  0.4051    -6.2999 -5.5868
     14  -5.8328  0.3246    -6.2991 -5.6443
     15  -5.7998  0.2668    -6.2522 -5.6297
     16  -5.8097  0.2154    -6.2511 -5.6634
     17  -5.8198  0.1808    -6.2524 -5.7233
     18  -5.8236  0.1578    -6.2516 -5.7619
     19  -5.7989  0.1289    -6.1736 -5.7253

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0829  0.0637     0.0001  0.1870
      1   0.0731  0.0632     0.0001  0.1847
      2   0.0263  0.0301     0.0000  0.0848
      3   0.0167  0.0140     0.0000  0.0406
      4   0.0162  0.0140     0.0000  0.0404
      5   0.0165  0.0141     0.0000  0.0406
      6   0.0184  0.0148     0.0000  0.0438
      7   0.0202  0.0156     0.0001  0.0469
      8   0.0223  0.0163     0.0001  0.0501
      9   0.0230  0.0166     0.0001  0.0512
     10   0.0254  0.0167     0.0006  0.0536
     11   0.0280  0.0173     0.0016  0.0570
     12   0.0301  0.0179     0.0025  0.0602
     13   0.0327  0.0184     0.0041  0.0635
     14   0.0346  0.0184     0.0064  0.0655
     15   0.0372  0.0188     0.0081  0.0684
     16   0.0384  0.0186     0.0093  0.0692
     17   0.0398  0.0186     0.0107  0.0708
     18   0.0406  0.0185     0.0118  0.0715
     19   0.0431  0.0188     0.0142  0.0744

