trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1371 770.00  0.00 800.00  2.00  0
  1  656 370.00  0.00 800.00 10.80  1
  2  571 320.00  0.00 800.00 52.00  1
  3  645 360.00  0.00 800.00 156.00  0
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  0
  7  769 430.00  0.00 800.00 52.00  0
  8  822 460.00  0.00 800.00 26.00  1
  9  625 350.00  0.00 800.00 52.00  1
 10  787 440.00  0.00 800.00 52.00  0
 11  625 340.00  0.00 800.00 104.00  0
 12  643 360.00  0.00 800.00 52.00  1
 13  787 440.00  0.00 800.00 52.00  1
 14  769 430.00  0.00 800.00 52.00  1
 15  751 420.00  0.00 800.00 52.00  1
 16  733 410.00  0.00 800.00 52.00  1
 17  733 420.00  0.00 800.00 104.00  0
 18  715 400.00  0.00 800.00 52.00  1
 19  733 420.00  0.00 800.00 104.00  0
