Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.8552  2.5932    -9.0250 -0.9397
      1  -2.6814  1.3988    -4.8703 -0.7115
      2  -3.7231  0.8494    -4.9666 -2.7038
      3  -3.1735  0.5984    -3.9359 -2.6496
      4  -3.4515  0.4673    -4.0061 -3.1674
      5  -3.1955  0.4771    -3.6564 -2.9611
      6  -3.1755  0.3610    -3.6235 -2.9714
      7  -3.2078  0.2782    -3.6325 -3.1717
      8  -3.2133  0.2236    -3.6346 -3.1773
      9  -3.2055  0.1721    -3.6170 -3.1775
     10  -3.2017  0.1407    -3.6075 -3.1776
     11  -3.2105  0.1334    -3.6248 -3.1794
     12  -3.2078  0.1184    -3.6181 -3.1794
     13  -3.2391  0.1386    -3.6555 -3.1820
     14  -3.2516  0.1409    -3.6629 -3.1834
     15  -3.2502  0.1362    -3.6609 -3.1833
     16  -3.2512  0.1351    -3.6613 -3.1835
     17  -3.2498  0.1327    -3.6594 -3.1834
     18  -3.2533  0.1338    -3.6611 -3.1838
     19  -3.2519  0.1319    -3.6592 -3.1837

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0073  0.1898
      1   0.1020  0.0584     0.0075  0.1898
      2   0.1019  0.0586     0.0073  0.1898
      3   0.1030  0.0583     0.0084  0.1900
      4   0.1048  0.0577     0.0101  0.1903
      5   0.1010  0.0587     0.0076  0.1897
      6   0.1033  0.0575     0.0113  0.1899
      7   0.1136  0.0555     0.0173  0.1917
      8   0.1195  0.0536     0.0227  0.1926
      9   0.1210  0.0525     0.0263  0.1927
     10   0.1219  0.0519     0.0286  0.1927
     11   0.1252  0.0514     0.0311  0.1934
     12   0.1259  0.0508     0.0330  0.1935
     13   0.1188  0.0523     0.0298  0.1924
     14   0.1197  0.0525     0.0307  0.1928
     15   0.1201  0.0522     0.0316  0.1928
     16   0.1216  0.0517     0.0331  0.1931
     17   0.1220  0.0515     0.0340  0.1931
     18   0.1236  0.0513     0.0352  0.1934
     19   0.1240  0.0510     0.0360  0.1934

