Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.4355  2.0807    -6.7618 -0.3636
      1  -1.9149  1.2716    -3.8357 -0.2091
      2  -2.9320  0.7794    -3.9298 -2.1405
      3  -3.3442  0.6097    -4.0316 -2.9129
      4  -3.6223  0.5661    -4.2114 -3.3385
      5  -3.7881  0.5917    -4.5420 -3.5392
      6  -3.6913  0.3620    -3.9526 -3.5331
      7  -3.5804  0.6476    -4.0824 -3.2663
      8  -3.6970  0.6625    -4.2062 -3.4382
      9  -3.7245  0.5500    -4.1690 -3.5157
     10  -3.6938  0.4001    -3.9868 -3.5309
     11  -3.6950  0.3020    -3.9522 -3.5991
     12  -3.6955  0.2293    -3.9507 -3.6806
     13  -3.6946  0.1769    -3.9496 -3.6923
     14  -3.6891  0.1316    -3.9470 -3.6924
     15  -3.6896  0.1063    -3.9466 -3.6941
     16  -3.6906  0.0887    -3.9462 -3.6959
     17  -3.6925  0.0746    -3.9459 -3.6986
     18  -3.6901  0.0607    -3.9441 -3.6985
     19  -3.6904  0.0554    -3.9440 -3.6991

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0592     0.0055  0.1897
      1   0.1017  0.0589     0.0064  0.1898
      2   0.1012  0.0591     0.0056  0.1898
      3   0.1024  0.0589     0.0063  0.1900
      4   0.1018  0.0594     0.0054  0.1900
      5   0.1001  0.0602     0.0044  0.1899
      6   0.1131  0.0560     0.0134  0.1916
      7   0.0600  0.0426     0.0009  0.1402
      8   0.0590  0.0422     0.0004  0.1378
      9   0.0668  0.0435     0.0028  0.1464
     10   0.0704  0.0424     0.0080  0.1483
     11   0.0741  0.0416     0.0122  0.1504
     12   0.0769  0.0409     0.0159  0.1519
     13   0.0784  0.0404     0.0184  0.1528
     14   0.0794  0.0399     0.0210  0.1532
     15   0.0805  0.0396     0.0226  0.1538
     16   0.0816  0.0393     0.0241  0.1545
     17   0.0833  0.0390     0.0261  0.1556
     18   0.0842  0.0386     0.0280  0.1560
     19   0.0847  0.0385     0.0288  0.1563

