Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6502  2.7116    -9.0045 -0.5412
      1  -2.3356  1.4471    -4.5851 -0.2903
      2  -3.4603  0.8585    -4.6928 -2.4445
      3  -4.1207  0.6264    -4.8395 -3.6862
      4  -3.8337  0.4981    -4.3813 -3.5099
      5  -3.6683  0.4788    -4.1099 -3.3730
      6  -3.7124  0.3506    -4.1054 -3.6793
      7  -3.6869  0.2616    -3.9470 -3.6902
      8  -3.6827  0.1974    -3.9454 -3.6908
      9  -3.6872  0.1425    -3.9452 -3.6943
     10  -3.6085  0.3510    -3.9438 -3.4383
     11  -3.6717  0.2948    -3.9473 -3.5174
     12  -3.6894  0.2263    -3.9473 -3.6903
     13  -3.6851  0.1684    -3.9452 -3.6909
     14  -3.6892  0.1260    -3.9449 -3.6960
     15  -3.6905  0.0966    -3.9446 -3.6980
     16  -3.6868  0.0749    -3.9416 -3.6978
     17  -3.6861  0.0606    -3.9410 -3.6979
     18  -3.6858  0.0520    -3.9407 -3.6980
     19  -3.6871  0.0435    -3.9408 -3.6993

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1023  0.0586     0.0072  0.1899
      1   0.1029  0.0584     0.0075  0.1900
      2   0.1019  0.0588     0.0067  0.1899
      3   0.1013  0.0592     0.0055  0.1898
      4   0.1015  0.0586     0.0067  0.1897
      5   0.1014  0.0594     0.0061  0.1900
      6   0.1127  0.0561     0.0137  0.1916
      7   0.1207  0.0531     0.0219  0.1925
      8   0.1220  0.0521     0.0257  0.1926
      9   0.1239  0.0506     0.0312  0.1928
     10   0.0642  0.0396     0.0087  0.1383
     11   0.0721  0.0416     0.0117  0.1489
     12   0.0784  0.0414     0.0162  0.1539
     13   0.0796  0.0409     0.0186  0.1544
     14   0.0822  0.0402     0.0222  0.1559
     15   0.0835  0.0398     0.0242  0.1565
     16   0.0872  0.0394     0.0281  0.1592
     17   0.0878  0.0392     0.0292  0.1595
     18   0.0881  0.0390     0.0299  0.1596
     19   0.0889  0.0387     0.0313  0.1600

