trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1301 730.00  0.00 800.00  4.30  1
  1  791 440.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  698 390.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  626 350.00  0.00 800.00 104.00  1
  8  608 340.00  0.00 800.00 104.00  1
  9  590 330.00  0.00 800.00 104.00  1
 10  752 420.00  0.00 800.00 104.00  0
 11  590 350.00  0.00 800.00 52.00  1
 12  734 410.00  0.00 800.00 104.00  0
 13  590 350.00  0.00 800.00 156.00  0
 14  590 320.00  0.00 800.00 52.00  1
 15  841 470.00  0.00 800.00 52.00  1
 16  841 490.00  0.00 800.00 104.00  0
 17  841 460.00  0.00 800.00 26.00  1
 18  841 470.00  0.00 800.00 26.00  1
 19  841 460.00  0.00 800.00 104.00  1
