trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1086 610.00  0.00 800.00  6.44  1
  1  701 390.00  0.00 800.00 520.00  0
  2  716 400.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  0
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  571 320.00  0.00 800.00 52.00  0
  8  822 460.00  0.00 800.00 26.00  1
  9  804 450.00  0.00 800.00 26.00  1
 10  804 470.00  0.00 800.00 21.50  1
 11  786 440.00  0.00 800.00 26.00  1
 12  697 390.00  0.00 800.00 52.00  0
 13  697 410.00  0.00 800.00 26.00  1
 14  804 450.00  0.00 800.00 26.00  1
 15  679 380.00  0.00 800.00 52.00  0
 16  679 390.00  0.00 800.00 26.00  1
 17  679 380.00  0.00 800.00 26.00  1
 18  875 490.00  0.00 800.00 21.50  1
 19  679 370.00  0.00 800.00 26.00  1
