trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1314 740.00  0.00 800.00  0.43  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  783 440.00  0.00 800.00 12.90  1
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  571 320.00  0.00 800.00 52.00  0
  8  822 460.00  0.00 800.00 26.00  1
  9  804 450.00  0.00 800.00 26.00  1
 10  804 470.00  0.00 800.00 21.50  1
 11  715 400.00  0.00 800.00 52.00  0
 12  804 460.00  0.00 800.00 21.50  1
 13  804 430.00  0.00 800.00 21.50  1
 14  804 440.00  0.00 800.00 21.50  1
 15  804 470.00  0.00 800.00 52.00  0
 16  804 430.00  0.00 800.00 21.50  1
 17  804 460.00  0.00 800.00 52.00  0
 18  804 440.00  0.00 800.00 21.50  1
 19  804 450.00  0.00 800.00 21.50  1
