trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1195 670.00  0.00 800.00  8.60  0
  1  624 350.00  0.00 800.00 26.00  1
  2  571 320.00  0.00 800.00 52.00  0
  3  714 400.00  0.00 800.00 26.00  0
  4  677 380.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  0
  6  748 420.00  0.00 800.00 17.20  0
  7  748 430.00  0.00 800.00 21.50  0
  8  677 380.00  0.00 800.00 21.50  1
  9  659 370.00  0.00 800.00 21.50  1
 10  730 410.00  0.00 800.00 17.20  1
 11  641 360.00  0.00 800.00 21.50  1
 12  730 430.00  0.00 800.00 21.50  1
 13  804 450.00  0.00 800.00 26.00  0
 14  768 430.00  0.00 800.00 26.00  0
 15  641 360.00  0.00 800.00 21.50  1
 16  750 420.00  0.00 800.00 26.00  0
 17  730 410.00  0.00 800.00 17.20  1
 18  803 450.00  0.00 800.00 21.50  1
 19  768 430.00  0.00 800.00 26.00  0
 20  786 440.00  0.00 800.00 26.00  0
 21  768 420.00  0.00 800.00 52.00  0
 22  768 450.00  0.00 800.00 21.50  0
 23  641 360.00  0.00 800.00 21.50  1
 24  750 420.00  0.00 800.00 26.00  0
 25  730 410.00  0.00 800.00 17.20  1
 26  750 410.00  0.00 800.00 52.00  0
 27  750 410.00  0.00 800.00 52.00  0
 28  750 440.00  0.00 800.00 21.50  1
 29  768 430.00  0.00 800.00 26.00  0
 30  821 460.00  0.00 800.00 21.50  1
 31  768 440.00  0.00 800.00 52.00  0
 32  768 420.00  0.00 800.00 21.50  1
 33  768 410.00  0.00 800.00 52.00  0
 34  768 450.00  0.00 800.00 52.00  0
 35  768 420.00  0.00 800.00 52.00  0
 36  768 420.00  0.00 800.00 21.50  1
 37  750 420.00  0.00 800.00 26.00  0
 38  768 450.00  0.00 800.00 21.50  1
 39  750 440.00  0.00 800.00 52.00  0
 40  750 410.00  0.00 800.00 52.00  0
 41  750 420.00  0.00 800.00 52.00  0
