trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1299 730.00  0.00 800.00  2.00  1
  1  683 380.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  0
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  1
  7  661 370.00  0.00 800.00 52.00  1
  8  805 450.00  0.00 800.00 52.00  1
  9  771 430.00  0.00 800.00 156.00  0
 10  698 390.00  0.00 800.00 104.00  0
 11  769 430.00  0.00 800.00 52.00  1
 12  734 410.00  0.00 800.00 104.00  0
 13  662 370.00  0.00 800.00 104.00  0
 14  751 420.00  0.00 800.00 52.00  1
 15  644 360.00  0.00 800.00 104.00  0
 16  715 400.00  0.00 800.00 52.00  1
 17  662 370.00  0.00 800.00 104.00  0
 18  715 400.00  0.00 800.00 26.00  1
 19  715 390.00  0.00 800.00 26.00  1
