trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1263 710.00  0.00 800.00  2.00  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  1
  3  664 370.00  0.00 800.00 260.00  1
  4  844 470.00  0.00 800.00 260.00  1
  5  701 390.00  0.00 800.00 520.00  0
  6  593 330.00  0.00 800.00 520.00  0
  7  611 340.00  0.00 800.00 520.00  0
  8  718 400.00  0.00 800.00 260.00  1
  9  611 340.00  0.00 800.00 260.00  1
 10  611 340.00  0.00 800.00 260.00  1
 11  611 340.00  0.00 800.00 260.00  1
 12  611 350.00  0.00 800.00 260.00  1
 13  611 360.00  0.00 800.00 260.00  1
 14  611 360.00  0.00 800.00 260.00  1
 15  611 350.00  0.00 800.00 260.00  1
 16  611 360.00  0.00 800.00 260.00  1
 17  611 330.00  0.00 800.00 260.00  1
 18  611 360.00  0.00 800.00 260.00  1
 19  611 330.00  0.00 800.00 260.00  1
