trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1103 620.00  0.00 800.00  4.30  1
  1  844 470.00  0.00 800.00 260.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  751 420.00  0.00 800.00 52.00  1
  5  751 440.00  0.00 800.00 104.00  0
  6  751 430.00  0.00 800.00 104.00  0
  7  751 440.00  0.00 800.00 104.00  0
  8  751 440.00  0.00 800.00 26.00  1
  9  751 410.00  0.00 800.00 26.00  1
 10  751 440.00  0.00 800.00 26.00  1
 11  751 440.00  0.00 800.00 26.00  1
 12  751 440.00  0.00 800.00 104.00  0
 13  751 400.00  0.00 800.00 104.00  0
 14  751 430.00  0.00 800.00 26.00  1
 15  751 440.00  0.00 800.00 104.00  0
 16  751 420.00  0.00 800.00 26.00  1
 17  751 420.00  0.00 800.00 26.00  1
 18  751 410.00  0.00 800.00 26.00  1
 19  751 440.00  0.00 800.00 26.00  1
