trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1339 750.00  0.00 800.00  8.60  0
  1  693 390.00  0.00 800.00 12.90  1
  2  679 380.00  0.00 800.00 52.00  0
  3  732 410.00  0.00 800.00 26.00  0
  4  694 390.00  0.00 800.00 17.20  0
  5  746 420.00  0.00 800.00 10.80  1
  6  694 410.00  0.00 800.00 21.50  0
  7  694 410.00  0.00 800.00 21.50  0
  8  694 390.00  0.00 800.00 21.50  0
  9  694 370.00  0.00 800.00 21.50  0
 10  694 390.00  0.00 800.00 12.90  0
 11  746 420.00  0.00 800.00 10.80  1
 12  675 380.00  0.00 800.00 12.90  0
 13  675 360.00  0.00 800.00 10.80  1
 14  746 420.00  0.00 800.00 10.80  1
 15  675 400.00  0.00 800.00 10.80  1
 16  728 410.00  0.00 800.00 10.80  1
 17  657 370.00  0.00 800.00 12.90  0
 18  675 380.00  0.00 800.00 12.90  0
 19  693 390.00  0.00 800.00 12.90  0
