trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1140 640.00  0.00 800.00  6.44  1
  1  791 440.00  0.00 800.00 520.00  0
  2  663 370.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  1
  5  661 370.00  0.00 800.00 52.00  0
  6  804 450.00  0.00 800.00 26.00  1
  7  679 380.00  0.00 800.00 52.00  0
  8  804 450.00  0.00 800.00 52.00  0
  9  571 320.00  0.00 800.00 52.00  0
 10  804 430.00  0.00 800.00 21.50  0
 11  604 340.00  0.00 800.00 17.20  1
 12  659 370.00  0.00 800.00 21.50  1
 13  642 360.00  0.00 800.00 26.00  1
 14  624 350.00  0.00 800.00 26.00  1
 15  858 480.00  0.00 800.00 26.00  0
 16  858 470.00  0.00 800.00 52.00  0
 17  858 470.00  0.00 800.00 21.50  1
 18  858 500.00  0.00 800.00 21.50  0
 19  876 490.00  0.00 800.00 26.00  0
