trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1261 710.00  0.00 800.00  0.71  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  0
  3  783 440.00  0.00 800.00 12.90  1
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  1
  7  805 450.00  0.00 800.00 52.00  1
  8  681 380.00  0.00 800.00 156.00  0
  9  734 410.00  0.00 800.00 104.00  0
 10  662 370.00  0.00 800.00 104.00  0
 11  769 430.00  0.00 800.00 52.00  1
 12  680 380.00  0.00 800.00 104.00  0
 13  733 410.00  0.00 800.00 52.00  1
 14  662 370.00  0.00 800.00 104.00  0
 15  733 420.00  0.00 800.00 26.00  1
 16  733 400.00  0.00 800.00 26.00  1
 17  733 430.00  0.00 800.00 104.00  0
 18  751 420.00  0.00 800.00 52.00  1
 19  644 360.00  0.00 800.00 104.00  0
