trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1352 760.00  0.00 800.00  1.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  1
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  626 350.00  0.00 800.00 104.00  0
  8  626 350.00  0.00 800.00 156.00  0
  9  751 420.00  0.00 800.00 52.00  1
 10  859 480.00  0.00 800.00 52.00  1
 11  626 350.00  0.00 800.00 104.00  0
 12  626 370.00  0.00 800.00 52.00  1
 13  626 340.00  0.00 800.00 52.00  1
 14  626 350.00  0.00 800.00 52.00  1
 15  626 360.00  0.00 800.00 156.00  0
 16  626 340.00  0.00 800.00 156.00  0
 17  626 370.00  0.00 800.00 156.00  0
 18  626 370.00  0.00 800.00 156.00  0
 19  626 350.00  0.00 800.00 156.00  0
