trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1279 720.00  0.00 800.00  0.71  1
  1  664 370.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  1
  3  698 390.00  0.00 800.00 104.00  1
  4  735 410.00  0.00 800.00 156.00  0
  5  645 360.00  0.00 800.00 156.00  1
  6  645 360.00  0.00 800.00 260.00  0
  7  645 350.00  0.00 800.00 260.00  0
  8  645 340.00  0.00 800.00 260.00  0
  9  645 360.00  0.00 800.00 104.00  1
 10  645 370.00  0.00 800.00 260.00  0
 11  645 340.00  0.00 800.00 104.00  1
 12  645 350.00  0.00 800.00 260.00  0
 13  645 370.00  0.00 800.00 104.00  1
 14  645 370.00  0.00 800.00 260.00  0
 15  645 380.00  0.00 800.00 104.00  1
 16  645 350.00  0.00 800.00 104.00  1
 17  645 380.00  0.00 800.00 260.00  0
 18  645 350.00  0.00 800.00 260.00  0
 19  645 360.00  0.00 800.00 104.00  1
