trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  161  90.00  0.00 800.00 520.00  0
  1  745 420.00  0.00 800.00  8.60  0
  2  652 370.00  0.00 800.00  3.00  1
  3  654 370.00  0.00 800.00  6.44  0
  4  742 420.00  0.00 800.00  3.00  1
  5  707 400.00  0.00 800.00  4.30  1
  6  672 380.00  0.00 800.00  6.44  1
  7  654 370.00  0.00 800.00  6.44  1
  8  691 390.00  0.00 800.00  8.60  0
  9  636 360.00  0.00 800.00  6.44  1
 10  780 440.00  0.00 800.00  6.44  0
 11  636 340.00  0.00 800.00  8.60  1
 12  780 430.00  0.00 800.00  8.60  0
 13  780 440.00  0.00 800.00  4.30  1
 14  762 430.00  0.00 800.00  6.44  0
 15  673 380.00  0.00 800.00  8.60  1
 16  691 390.00  0.00 800.00  8.60  1
 17  762 430.00  0.00 800.00  6.44  0
 18  853 480.00  0.00 800.00  8.60  0
 19  780 440.00  0.00 800.00  6.44  0
