trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1194 670.00  0.00 800.00  6.44  1
  1  701 390.00  0.00 800.00 520.00  0
  2  663 370.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  0
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  804 450.00  0.00 800.00 26.00  0
  8  822 460.00  0.00 800.00 26.00  1
  9  804 470.00  0.00 800.00 52.00  0
 10  804 460.00  0.00 800.00 52.00  0
 11  804 450.00  0.00 800.00 52.00  0
 12  804 460.00  0.00 800.00 21.50  0
 13  677 380.00  0.00 800.00 21.50  1
 14  642 360.00  0.00 800.00 26.00  1
 15  822 460.00  0.00 800.00 26.00  0
 16  660 370.00  0.00 800.00 26.00  1
 17  858 480.00  0.00 800.00 26.00  1
 18  822 460.00  0.00 800.00 26.00  1
 19  804 450.00  0.00 800.00 26.00  1
