trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1152 650.00  0.00 800.00  0.43  1
  1  645 360.00  0.00 800.00 156.00  0
  2  783 440.00  0.00 800.00 12.90  1
  3  661 370.00  0.00 800.00 52.00  0
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  571 320.00  0.00 800.00 52.00  0
  8  822 460.00  0.00 800.00 26.00  0
  9  840 470.00  0.00 800.00 26.00  1
 10  822 480.00  0.00 800.00 21.50  0
 11  587 330.00  0.00 800.00 21.50  1
 12  659 370.00  0.00 800.00 21.50  1
 13  858 480.00  0.00 800.00 26.00  0
 14  858 480.00  0.00 800.00 21.50  1
 15  858 470.00  0.00 800.00 52.00  0
 16  840 470.00  0.00 800.00 26.00  0
 17  858 460.00  0.00 800.00 52.00  0
 18  858 470.00  0.00 800.00 52.00  0
 19  858 480.00  0.00 800.00 21.50  1
