trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1010 570.00  0.00 800.00  1.00  1
  1  753 420.00  0.00 800.00 156.00  0
  2  695 390.00  0.00 800.00 21.50  1
  3  769 430.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  1
  5  661 370.00  0.00 800.00 52.00  0
  6  804 450.00  0.00 800.00 26.00  1
  7  679 380.00  0.00 800.00 52.00  0
  8  804 450.00  0.00 800.00 21.50  1
  9  571 320.00  0.00 800.00 52.00  0
 10  804 440.00  0.00 800.00 52.00  0
 11  822 460.00  0.00 800.00 26.00  1
 12  804 470.00  0.00 800.00 52.00  0
 13  804 440.00  0.00 800.00 21.50  1
 14  804 460.00  0.00 800.00 52.00  0
 15  804 460.00  0.00 800.00 52.00  0
 16  804 450.00  0.00 800.00 21.50  1
 17  804 440.00  0.00 800.00 21.50  1
 18  804 470.00  0.00 800.00 52.00  0
 19  804 450.00  0.00 800.00 21.50  1
