trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1155 650.00  0.00 800.00  2.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  663 370.00  0.00 800.00 156.00  1
  4  664 370.00  0.00 800.00 260.00  0
  5  753 420.00  0.00 800.00 156.00  1
  6  664 390.00  0.00 800.00 156.00  1
  7  664 380.00  0.00 800.00 156.00  1
  8  664 350.00  0.00 800.00 520.00  0
  9  664 380.00  0.00 800.00 520.00  0
 10  664 360.00  0.00 800.00 520.00  0
 11  664 350.00  0.00 800.00 156.00  1
 12  664 350.00  0.00 800.00 156.00  1
 13  664 370.00  0.00 800.00 156.00  1
 14  664 380.00  0.00 800.00 156.00  1
 15  664 360.00  0.00 800.00 156.00  1
 16  664 370.00  0.00 800.00 156.00  1
 17  664 370.00  0.00 800.00 156.00  1
 18  664 380.00  0.00 800.00 520.00  0
 19  664 350.00  0.00 800.00 156.00  1
